q0 (),q1,q2,q3
7.180574271989580426e-01,1.949542358532448394e-01,3.736307598472367042e-01,5.538830494456992160e-01
7.152601030149789985e-01,1.946249737099535193e-01,3.764824724701664183e-01,5.556843101673394347e-01
7.124583066850385116e-01,1.942737554411904655e-01,3.793337127794731423e-01,5.574646208784950208e-01
7.096522004035971110e-01,1.939005947470027191e-01,3.821843152032587398e-01,5.592239828831626625e-01
7.068419461794208658e-01,1.935055065901215843e-01,3.850341143873051708e-01,5.609623987386078703e-01
7.040277058259079013e-01,1.930885071934563824e-01,3.878829452047741766e-01,5.626798722529371410e-01
7.012096409514350093e-01,1.926496140375143218e-01,3.907306427658843173e-01,5.643764084825970695e-01
6.983879129497314597e-01,1.921888458577446501e-01,3.935770424275617518e-01,5.660520137297982979e-01
6.955626829902767927e-01,1.917062226418096427e-01,3.964219798030664821e-01,5.677066955398657466e-01
6.927341120087253667e-01,1.912017656267806232e-01,3.992652907715916744e-01,5.693404626985163475e-01
6.899023606973578859e-01,1.906754972962604877e-01,4.021068114878366129e-01,5.709533252290612815e-01
6.870675894955581287e-01,1.901274413774316496e-01,4.049463783915520088e-01,5.725452943895361635e-01
6.842299585803206519e-01,1.895576228380325134e-01,4.077838282170579975e-01,5.741163826697580630e-01
6.813896278567839193e-01,1.889660678832583152e-01,4.106189980027322717e-01,5.756666037883086950e-01
6.785467569487945161e-01,1.883528039525905196e-01,4.134517251004704574e-01,5.771959726894458909e-01
6.757015051894996738e-01,1.877178597165533036e-01,4.162818471851150171e-01,5.787045055399424598e-01
6.728540316119709930e-01,1.870612650733973759e-01,4.191092022638558401e-01,5.801922197258519986e-01
6.700044949398575866e-01,1.863830511457112982e-01,4.219336286855976947e-01,5.816591338492036467e-01
6.671530535780719751e-01,1.856832502769617532e-01,4.247549651502982582e-01,5.831052677246245652e-01
6.642998656035076221e-01,1.849618960279616198e-01,4.275730507182721185e-01,5.845306423758920289e-01
6.614450887557874470e-01,1.842190231732662720e-01,4.303877248194634131e-01,5.859352800324125754e-01
6.585888804280477515e-01,1.834546676975000734e-01,4.331988272626847158e-01,5.873192041256313223e-01
6.557313976577534564e-01,1.826688667916107622e-01,4.360061982448221740e-01,5.886824392853710064e-01
6.528727971175496414e-01,1.818616588490541419e-01,4.388096783600065609e-01,5.900250113360999693e-01
6.500132351061449487e-01,1.810330834619084672e-01,4.416091086087486350e-01,5.913469472931297544e-01
6.471528675392341778e-01,1.801831814169186918e-01,4.444043304070400824e-01,5.926482753587446473e-01
