gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
1.813984141208244694e+01,-6.137530857934766004e+01,1.652677224231626951e+01
1.696367723457580468e+01,-6.128689241764632101e+01,1.702885828389108269e+01
1.578616659189336957e+01,-6.116743483792688352e+01,1.754559890904780417e+01
1.460811805818127240e+01,-6.101652391268542175e+01,1.807626664135889172e+01
1.343033773741691839e+01,-6.083377814974266329e+01,1.862011454856233073e+01
1.225363280674210564e+01,-6.061884894747313979e+01,1.917638095432178602e+01
1.107881163306185179e+01,-6.037142005064032446e+01,1.974428724506806176e+01
9.906677460347882658e+00,-6.009120577064157942e+01,2.032304112548601083e+01
8.738034329983571880e+00,-5.977795485636471540e+01,2.091183670798653083e+01
7.573682883329954763e+00,-5.943144762530566538e+01,2.150985403172125743e+01
6.414422240017901622e+00,-5.905149942455970091e+01,2.211626712842956621e+01
5.261045365228910420e+00,-5.863796038516461806e+01,2.273023398445409526e+01
4.114342912716614009e+00,-5.819071235364173589e+01,2.335090647445374401e+01
2.975101692386605823e+00,-5.770967238830799317e+01,2.397742854181113259e+01
1.844102875592788182e+00,-5.719479325634486599e+01,2.460893523257039206e+01
7.221212321452299410e-01,-5.664606366758813039e+01,2.524455883937632095e+01
-3.900750144624344773e-01,-5.606350206403083547e+01,2.588342626459042961e+01
-1.491723415747448378e+00,-5.544716835282934397e+01,2.652465706056779027e+01
-2.582068948977485956e+00,-5.479715258982937343e+01,2.716737486457665085e+01
-3.660363527913323534e+00,-5.411358339453911981e+01,2.781069714975962626e+01
-4.725869448068383605e+00,-5.339662116670958625e+01,2.845374376529800031e+01
-5.777854387386143209e+00,-5.264646205940060497e+01,2.909563451014532731e+01
-6.815599885487674037e+00,-5.186334039695019982e+01,2.973549261686492429e+01
-7.838392301753398961e+00,-5.104751915074238156e+01,3.037244285867960869e+01
-8.845533410201683822e+00,-5.019930129517157269e+01,3.100561706585242661e+01
-9.836331024883191887e+00,-4.931901975970215091e+01,3.163415066643039708e+01
-1.081010621106018732e+01,-4.840704374632610296e+01,3.225718594800955685e+01
-1.176619211579918733e+01,-4.746377516889717896e+01,3.287387420872873633e+01
-1.270393248677006959e+01,-4.648964898283381331e+01,3.348337422324348722e+01
-1.362268610898482812e+01,-4.548513295380954702e+01,3.408485560286137428e+01
-1.452182225745564104e+01,-4.445072726109297889e+01,3.467749964252407580e+01
-1.540072621106065220e+01,-4.338696282471869381e+01,3.526049817778624629e+01
-1.625879265250119587e+01,-4.229440414629576139e+01,3.583305809543092124e+01
-1.709543600062605151e+01,-4.117364532052965842e+01,3.639439786422511958e+01
-1.791008313822803188e+01,-4.002530757968846586e+01,3.694375401667321768e+01
-1.870217345556796218e+01,-3.885004658283386192e+01,3.748037691855416398e+01
-1.947116665851407902e+01,-3.764854341974043450e+01,3.800353688068326363e+01
-2.021653326036258846e+01,-3.642150852416127549e+01,3.851251928632643740e+01
-2.093776476727053648e+01,-3.516967997021955483e+01,3.900662859744861066e+01
-2.163436401862981384e+01,-3.389382126494462710e+01,3.948519212436998771e+01
-2.230585687577571363e+01,-3.259472097064155349e+01,3.994755484184360483e+01
-2.295178069870326354e+01,-3.127319706063468985e+01,4.039308448211659197e+01
-2.357169487875255953e+01,-2.993008669669784183e+01,4.082117173884598316e+01
-2.416517196021034408e+01,-2.856625208581818853e+01,4.123122940551810700e+01
-2.473180832283265218e+01,-2.718257698118267029e+01,4.162269490437530095e+01
-2.527121236682843985e+01,-2.577996854179009745e+01,4.199502952463195982e+01
-2.578301622515979830e+01,-2.435935219534276186e+01,4.234772052064492698e+01
-2.626687010634466191e+01,-2.292167445499330825e+01,4.268028148847580638e+01
-2.672243918265691676e+01,-2.146789803345514613e+01,4.299225084328362811e+01
-2.714941446000042546e+01,-1.999900440663535406e+01,4.328319714107359317e+01
-2.754750176012977647e+01,-1.851599191271185063e+01,4.355271402315722895e+01
-2.791642926730323637e+01,-1.701987215697886313e+01,4.380042346320821167e+01
-2.825594198536367330e+01,-1.551167381797344191e+01,4.402597894063453055e+01
-2.856580983861984535e+01,-1.399243554612539420e+01,4.422905929910383804e+01
-2.884581911400848853e+01,-1.246320906313535737e+01,4.440937612416926328e+01
-2.909577847719343424e+01,-1.092505681835586273e+01,4.456666976230360433e+01
-2.931551540403419054e+01,-9.379050968772087771e+00,4.470070987866460399e+01
-2.950488040945959511e+01,-7.826273163888270545e+00,4.481129954752467626e+01
-2.966374306188055243e+01,-6.267809917498066596e+00,4.489826893860784907e+01
-2.979199515920220520e+01,-4.704754982886404591e+00,4.496148189708515019e+01
-2.988954847243624968e+01,-3.138208300911333293e+00,4.500083345195343298e+01
-2.995633613802911199e+01,-1.569270051342960492e+00,4.501624933672159301e+01
-2.999231249391456444e+01,9.535784949276944868e-04,4.500768662602571624e+01
-2.999745331752816568e+01,1.571356244112534828e+00,4.497513329916287717e+01
-2.997175284340066881e+01,3.140831912631667944e+00,4.491861131358855630e+01
-2.991523236733152658e+01,4.708275461702441156e+00,4.483817358435528178e+01
-2.982792797012180230e+01,6.272584829262403794e+00,4.473390072679399765e+01
-2.970990025771384779e+01,7.832661054188350569e+00,4.460590907887301171e+01
-2.956122970787077620e+01,9.387408700652898119e+00,4.445434601347718484e+01
-2.938201864919407313e+01,1.093573979833973553e+01,4.427938672044697910e+01
-2.917238919244208617e+01,1.247657276608730115e+01,4.408124042222249273e+01
-2.893248668816349678e+01,1.400883535628473275e+01,4.386014571733017675e+01
-2.866247479143969557e+01,1.553146229420667979e+01,4.361637176789651704e+01
-2.836253683515238322e+01,1.704340274303705627e+01,4.335021647248608900e+01
-2.803288055775963983e+01,1.854361243563049300e+01,4.306200854634843012e+01
-2.767373037656984991e+01,2.003106553231444664e+01,4.275210667963715849e+01
