ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
-2.856664370864558933e+01,-1.399326892479197149e+01,4.422822573906194066e+01
-2.884665281559657046e+01,-1.246404242846641353e+01,4.440854261714342499e+01
-2.909661161628294934e+01,-1.092589045555190808e+01,4.456583600128600864e+01
-2.931634880144831357e+01,-9.379885089898490236e+00,4.469987655160567641e+01
-2.950571377422482300e+01,-7.827106833069350067e+00,4.481046553311364278e+01
-2.966457675334397592e+01,-6.268643430150048879e+00,4.489743507265945510e+01
-2.979282886208149250e+01,-4.705588687008247284e+00,4.496064837668247804e+01
-2.989038220287540426e+01,-3.139041280409040624e+00,4.499999990950231421e+01
-2.995716991756622605e+01,-1.570103562400349873e+00,4.501541553192710410e+01
-2.999314623321776097e+01,1.196396108036569994e-04,4.500685260000769006e+01
-2.999828649348734189e+01,1.570522225665173632e+00,4.497430002381493352e+01
-2.997258717552375629e+01,3.139998027511350820e+00,4.491777828616607593e+01
-2.991606589238148572e+01,4.707442012887955940e+00,4.483733942127637562e+01
-2.982876138094941609e+01,6.271751488396555274e+00,4.473306695336078320e+01
-2.971073347540247056e+01,7.831827299535361497e+00,4.460507579526012734e+01
-2.956206306619409929e+01,9.386575026467896876e+00,4.445351210721550217e+01
-2.938285204461803346e+01,1.093490617410543919e+01,4.427855311596386656e+01
-2.917322323297700493e+01,1.247573935508938092e+01,4.408040689437630277e+01
-2.893332030040651759e+01,1.400800146426754722e+01,4.385931210190931040e+01
-2.866330766441114974e+01,1.553062884327004944e+01,4.361553768618799154e+01
-2.836337037818108087e+01,1.704256843380068531e+01,4.334938254608742625e+01
-2.803371400376586919e+01,1.854277891827548430e+01,4.306117515672644203e+01
-2.767456447119256779e+01,2.003023184645306642e+01,4.275127315683459983e+01
-2.728616792362456422e+01,2.150391274672083597e+01,4.242006289899981653e+01
-2.686879054866744454e+01,2.296282222071782186e+01,4.206795896334992335e+01
-2.642271839593730576e+01,2.440597701999595515e+01,4.169540363526601823e+01
-2.594825718101670731e+01,2.583241110344346581e+01,4.130286634777079513e+01
-2.544573207593255049e+01,2.724117667421682754e+01,4.089084308927743905e+01
-2.491548748629942622e+01,2.863134519495323360e+01,4.045985577742847994e+01
-2.435788681528129018e+01,3.000200838006103510e+01,4.001045159979514665e+01
-2.377331221453309240e+01,3.135227916391449909e+01,3.954320232224919351e+01
-2.316216432229324340e+01,3.268129264380692689e+01,3.905870356585840852e+01
-2.252486198880613699e+01,3.398820699654849165e+01,3.855757405319691600e+01
-2.186184198926319411e+01,3.527220436762542022e+01,3.804045482499784470e+01
-2.117355872445902776e+01,3.653249173187167287e+01,3.750800842811429447e+01
-2.046048390936782368e+01,3.776830172463785829e+01,3.696091807578788746e+01
-1.972310624985353655e+01,3.897889344247864329e+01,3.639988678126071164e+01
-1.896193110773534940e+01,4.016355321241602638e+01,3.582563646579769312e+01
-1.817748015443790877e+01,4.132159532887467890e+01,3.523890704221899028e+01
-1.737029101346387350e+01,4.245236275742400522e+01,3.464045547507208767e+01
-1.654091689193356629e+01,4.355522780450232290e+01,3.403105481860256276e+01
-1.568992620144455330e+01,4.462959275233939849e+01,3.341149323370930802e+01
-1.481790216851075748e+01,4.567489045833572447e+01,3.278257298509699780e+01
-1.392544243484808142e+01,4.669058491820038626e+01,3.214510941986262083e+01
-1.301315864778073284e+01,4.767617179219244150e+01,3.149992992877599818e+01
-1.208167604104864878e+01,4.863117889385620884e+01,3.084787289153618417e+01
-1.113163300630360375e+01,4.955516664068559862e+01,3.018978660730534358e+01
-1.016368065558748590e+01,5.044772846619918027e+01,2.952652821183993481e+01
-9.178482375092530177e+00,5.130849119295414340e+01,2.885896258255638358e+01
-8.176713370509697043e+00,5.213711536607434738e+01,2.818796123288297650e+01
-7.159060204276337380e+00,5.293329554691606376e+01,2.751440119726374789e+01
-6.126220325040731218e+00,5.369676056654231644e+01,2.683916390819133824e+01
-5.078901589665491656e+00,5.442727373872644137e+01,2.616313406665687680e+01
-4.017821778097903973e+00,5.512463303225336375e+01,2.548719850741221649e+01
-2.943708101439430624e+00,5.578867120233688581e+01,2.481224506044785372e+01
-1.857296703551509776e+00,5.641925588102079558e+01,2.413916141009381988e+01
-7.593321565393994499e-01,5.701628962648072729e+01,2.346883395315487775e+01
3.494330495404298076e-01,5.757970993119385383e+01,2.280214665749249292e+01
1.468239022399332461e+00,5.810948918899273252e+01,2.213997992246631696e+01
2.596318988308707443e+00,5.860563462107000987e+01,2.148320944264555976e+01
3.732899817608413162e+00,5.906818816104924252e+01,2.083270507619754142e+01
4.877202554571196558e+00,5.949722629928767503e+01,2.018932971935498344e+01
6.028442951260040594e+00,5.989285988662509652e+01,1.955393818835684172e+01
7.185832005012543711e+00,6.025523389784251549e+01,1.892737611024870148e+01
8.348576499183915089e+00,6.058452715514283682e+01,1.831047882391793991e+01
9.515879546778069908e+00,6.088095201201349482e+01,1.770407029272768895e+01
1.068694113659406497e+01,6.114475399787985310e+01,1.710896203009849970e+01
1.186095868151391741e+01,6.137621142400438146e+01,1.652595203937260848e+01
1.303712756855569310e+01,6.157563495113409857e+01,1.595582376927732327e+01
1.421464171031501778e+01,6.174336711944454237e+01,1.539934508628637033e+01
1.539269409741719663e+01,6.187978184137400461e+01,1.485726726515723506e+01
1.657047735160106683e+01,6.198528385798683615e+01,1.433032399890076469e+01
1.774718427905568774e+01,6.206030815954785851e+01,1.381923042941615698e+01
1.892200842363073932e+01,6.210531937103390732e+01,1.332468219999907610e+01
2.009414461954121833e+01,6.212081110334990086e+01,1.284735453090513246e+01
2.126278954318794590e+01,6.210730527105859977e+01,1.238790131912188563e+01
2.242714226371530373e+01,6.206535137747354014e+01,1.194695426347463219e+01
