q0 (),q1,q2,q3
5.286694909401791209e-01,8.192557832725263500e-01,7.668959361715860235e-02,-2.084400085262089475e-01
5.297040918652999864e-01,8.225145087939775834e-01,7.942485901163173767e-02,-1.912463062533296121e-01
5.302602873269295358e-01,8.257000777180937279e-01,8.233593333019793847e-02,-1.739660984874387972e-01
5.303363336017283824e-01,8.288057557739151315e-01,8.542150156341839218e-02,-1.566127693662196785e-01
5.299308674239983086e-01,8.318248394652275612e-01,8.868001398787195289e-02,-1.391997389329739099e-01
5.290429066302841932e-01,8.347506638685157077e-01,9.210968693478974179e-02,-1.217404521431870168e-01
5.276718504820454569e-01,8.375766104096035169e-01,9.570850381057480205e-02,-1.042483678623056242e-01
5.258174796664029094e-01,8.402961146109899637e-01,9.947421636856196292e-02,-8.673694786425571734e-02
5.234799559752522091e-01,8.429026738019145260e-01,1.034043462311222267e-01,-6.921964584021952915e-02
5.206598216633137044e-01,8.453898547832046084e-01,1.074961866609668859e-01,-5.170989642717477297e-02
5.173579984859775216e-01,8.477513014390027912e-01,1.117468045802572085e-01,-3.422110426567502584e-02
5.135757864180794385e-01,8.499807422875129692e-01,1.161530428358770461e-01,-1.676663309631939991e-02
5.093148620550300709e-01,8.520719979629539642e-01,1.207115227089820830e-01,6.402050956852561869e-04
5.045772766979929047e-01,8.540189886209703651e-01,1.254186466666903921e-01,1.798616087851140355e-02
4.993654541250905354e-01,8.558157412598208502e-01,1.302706013535418483e-01,3.525805810495256931e-02
4.936821880508890370e-01,8.574563969497290827e-01,1.352633608201081195e-01,5.244280456768686538e-02
4.875306392766890484e-01,8.589352179628787498e-01,1.403926899858993216e-01,6.952740256940280472e-02
4.809143325344201192e-01,8.602465947966086990e-01,1.456541483334790887e-01,8.649895939871887762e-02
4.738371530272038612e-01,8.613850530824711527e-01,1.510430938304621884e-01,1.033446977029056496e-01
4.663033426699200734e-01,8.623452603739157896e-01,1.565546870758444675e-01,1.200519657485323022e-01
4.583174960333685211e-01,8.631220328054767243e-01,1.621838956668855691e-01,1.366082475612562241e-01
4.498845559958796758e-01,8.637103416164502168e-01,1.679254987825409828e-01,1.530011729360922779e-01
4.410098091064856285e-01,8.641053195321852787e-01,1.737740919792235550e-01,1.692185273096213916e-01
4.316988806640109644e-01,8.643022669962375781e-01,1.797240921944553982e-01,1.852482614857240417e-01
4.219577295166913045e-01,8.642966582467686010e-01,1.857697429537638056e-01,2.010785012065676169e-01
4.117926425871732965e-01,8.640841472307315696e-01,1.919051197759642502e-01,2.166975565607163201e-01
4.012102291279835975e-01,8.636605733495227311e-01,1.981241357717740681e-01,2.320939312203840754e-01
3.902174147127959181e-01,8.630219670299434931e-01,2.044205474304986170e-01,2.472563315000129158e-01
3.788214349690452454e-01,8.621645551144787589e-01,2.107879605893451247e-01,2.621736752285227512e-01
3.670298290576684552e-01,8.610847660650680080e-01,2.172198365797247122e-01,2.768351004277519456e-01
3.548504329059683493e-01,8.597792349747191976e-01,2.237094985447267703e-01,2.912299737897874885e-01
3.422913721998098735e-01,8.582448083815026330e-01,2.302501379217666011e-01,3.053478989460648441e-01
3.293610551415629417e-01,8.564785488796406998e-01,2.368348210842440849e-01,3.191787245213179025e-01
3.160681649804121252e-01,8.544777395226056393e-01,2.434564961358763879e-01,3.327125519656496389e-01
3.024216523218447028e-01,8.522398880133388310e-01,2.501079998512156788e-01,3.459397431581998639e-01
2.884307272233188613e-01,8.497627306768964495e-01,2.567820647557056968e-01,3.588509277761007255e-01
2.741048510832978513e-01,8.470442362110447432e-01,2.634713263384840798e-01,3.714370104226164537e-01
2.594537283310067166e-01,8.440826092105321310e-01,2.701683303909980793e-01,3.836891775085932155e-01
2.444872979244457345e-01,8.408762934609832485e-01,2.768655404643660112e-01,3.955989038815660441e-01
2.292157246643483082e-01,8.374239749985807890e-01,2.835553454382888638e-01,4.071579591970989620e-01
2.136493903319316989e-01,8.337245849319264712e-01,2.902300671941984711e-01,4.183584140271735530e-01
1.977988846584338156e-01,8.297773020226906215e-01,2.968819683852109703e-01,4.291926457006766116e-01
1.816749961345737463e-01,8.255815550219083310e-01,3.035032602953516290e-01,4.396533438712852959e-01
1.652887026682008098e-01,8.211370247589943050e-01,3.100861107804145367e-01,4.497335158082907403e-01
1.486511620985279947e-01,8.164436459808049884e-01,3.166226522827317869e-01,4.594264914061612637e-01
1.317737025754637803e-01,8.115016089382987019e-01,3.231049899120357338e-01,4.687259279088888952e-01
1.146678128126576712e-01,8.063113607186062071e-01,3.295252095845316864e-01,4.776258143454366056e-01
