ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
6.450000052193971101e+01,4.550000052193973232e+01,-1.034999998260200726e+02
6.600000046974575696e+01,4.700000046974576406e+01,-1.029999998434180952e+02
6.750000042277120826e+01,4.850000042277119405e+01,-1.024999998590762686e+02
6.900000038049411444e+01,5.000000038049407891e+01,-1.019999998731686617e+02
7.050000034244472147e+01,5.150000034244467884e+01,-1.014999998858517785e+02
7.200000030820027064e+01,5.300000030820023511e+01,-1.009999998972665907e+02
7.350000027738025210e+01,5.450000027738021657e+01,-1.004999999075399586e+02
7.500000024964226952e+01,5.600000024964221979e+01,-9.999999991678593858e+01
7.650000022467807526e+01,5.750000022467803262e+01,-9.949999992510737457e+01
7.800000020221028763e+01,5.900000020221024499e+01,-9.899999993259662290e+01
7.950000018198929297e+01,6.050000018198925744e+01,-9.849999993933693077e+01
8.100000016379037504e+01,6.200000016379033241e+01,-9.799999994540327464e+01
8.250000014741134180e+01,6.350000014741129917e+01,-9.749999995086291449e+01
8.400000013267020904e+01,6.500000013267018062e+01,-9.699999995577661593e+01
8.550000011940318245e+01,6.650000011940315403e+01,-9.649999996019894866e+01
8.700000010746288126e+01,6.800000010746283863e+01,-9.599999996417905379e+01
8.850000009671659029e+01,6.950000009671654766e+01,-9.549999996776114131e+01
9.000000008704496679e+01,7.100000008704492416e+01,-9.499999997098504423e+01
9.150000007834047722e+01,7.250000007834043458e+01,-9.449999997388650286e+01
9.300000007050644513e+01,7.400000007050641671e+01,-9.399999997649784689e+01
9.450000006345580061e+01,7.550000006345577219e+01,-9.349999997884808067e+01
9.600000005711022766e+01,7.700000005711018503e+01,-9.299999998096325271e+01
9.750000005139922621e+01,7.850000005139919779e+01,-9.249999998286693881e+01
9.900000004625935901e+01,8.000000004625927374e+01,-9.199999998458024209e+01
1.005000000416333705e+02,8.150000004163332790e+01,-9.149999998612220509e+01
1.020000000374700591e+02,8.300000003747001642e+01,-9.099999998750998031e+01
1.035000000337230119e+02,8.450000003372302615e+01,-9.049999998875897234e+01
1.050000000303507193e+02,8.600000003035073348e+01,-8.999999998988309358e+01
